11.50		35.34		448364		36623.34  
11.50		35.59		451224		37074.56  
11.50		35.84		453964		37528.52  
11.50		36.08		456772		37985.30  
11.50		36.29		459596		38444.89  
11.50		36.52		462396		38907.29  
11.50		36.76		465184		39372.47  
11.50		36.97		467956		39840.43  
11.50		37.20		470824		40311.25  
11.50		37.42		473568		40784.82  
11.50		37.64		476372		41261.19  
11.50		37.86		479208		41740.40  
11.50		38.09		482028		42222.43  
11.50		38.32		484856		42707.28  
11.50		38.56		487640		43194.92  
11.50		38.76		490428		43685.35  
11.50		38.99		493312		44178.66  
11.50		39.21		496012		44674.68  
11.50		39.42		498812		45173.49  
11.50		39.65		501640		45675.13  
11.50		39.88		504464		46179.59  
11.50		40.10		507248		46686.84  
11.50		40.33		510052		47196.89  
11.50		40.52		512872		47709.76  
11.50		40.75		515676		48225.44  
11.50		40.99		518484		48743.92  
11.50		41.20		521288		49265.21  
11.50		41.42		524092		49789.30  
11.50		41.63		526908		50316.21  
11.50		41.83		529744		50845.95  
11.50		42.06		532524		51378.48  
11.50		42.28		535312		51913.79  
11.50		42.52		538156		52451.95  
11.50		42.75		540988		52992.93  
11.50		42.99		543704		53536.64  
11.50		43.20		546528		54083.16  
11.50		43.46		549412		54632.57  
11.50		43.68		552148		55184.72  
11.50		43.93		554932		55739.66  
11.50		44.16		557752		56297.41  
11.50		44.38		560572		56857.98  
11.50		44.61		563360		57421.34  
11.50		44.84		566164		57987.50  
11.50		45.08		568972		58556.48  
11.50		45.31		571808		59128.29  
11.50		45.53		574608		59702.89  
11.50		45.75		577396		60280.29  
11.50		46.00		580228		60860.52  
11.50		46.32		583368		61443.88  
11.50		46.79		588012		62031.89  
11.50		47.03		591052		62622.95  
11.50		47.17		593244		63216.19  
11.50		47.34		595316		63811.50  
11.50		47.58		597880		64409.38  
11.50		47.86		601076		65010.46  
11.50		48.06		603576		65614.03  
11.50		48.24		605956		66219.98  
11.50		48.44		608316		66828.30  
11.50		48.67		611032		67439.33  
11.50		48.90		613872		68053.20  
11.50		49.10		616656		68669.86  
11.50		49.33		619460		69289.32  
11.50		49.58		622264		69911.59  
11.50		49.78		625084		70536.67  
11.50		49.99		627876		71164.55  
11.50		50.25		630700		71795.25  
11.50		50.49		633496		72428.74  
11.50		50.69		636292		73065.03  
11.50		50.90		639088		73704.12  
11.50		51.16		641908		74346.02  
11.50		51.38		644672		74990.70  
11.50		51.58		647528		75638.23  
11.50		51.81		650280		76288.51  
11.50		52.03		653120		76941.63  
11.50		52.27		655916		77597.54  
11.50		52.49		658780		78256.32  
11.50		52.73		661544		78917.87  
11.50		52.97		664348		79582.22  
11.50		53.18		667148		80249.37  
11.50		53.41		669952		80919.32  
11.50		53.67		672756		81592.08  
11.50		53.88		675580		82267.66  
11.50		54.11		678364		82946.02  
11.50		54.36		681248		83627.27  
11.50		54.61		683976		84311.25  
11.50		54.84		686780		84998.03  
11.50		55.06		689584		85687.62  
11.50		55.27		692392		86380.01  
11.50		55.55		695236		87075.24  
11.50		55.79		698084		87773.33  
11.50		55.99		700804		88474.13  
11.50		56.24		703612		89177.74  
11.50		56.46		706392		89884.13  
11.50		56.70		709216		90593.35  
11.50		56.90		711992		91305.34  
11.50		57.14		714868		92020.21  
11.50		57.38		717636		92737.84  
11.50		57.62		720452		93458.30  
11.50		57.82		723224		94181.52  
11.50		58.06		726124		94907.65  
11.50		58.28		728868		95636.52  
11.50		58.53		731660		96368.17  
11.50		58.75		734468		97102.64  
11.50		58.97		737312		97839.95  
11.50		59.20		740056		98580.01  
11.50		59.43		742912		99322.92  
11.50		59.67		745656		100068.58  
11.50		59.88		748580		100817.16  
11.50		60.11		751464		101568.62  
11.50		60.35		754372		102322.99  
11.50		60.57		757244		103080.23  
11.50		60.79		760176		103840.41  
11.50		61.01		763008		104603.42  
11.50		61.25		765964		105369.38  
11.50		61.50		768868		106138.25  
11.50		61.74		771736		106909.98  
11.50		61.95		774584		107684.57  
11.50		62.16		777476		108462.05  
